Destination.City,Origin.City,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,Flights.Per.Year,Loyalty,Type.of.Travel,Total.Freq.Flyer.Accts,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Partner.Code,Partner.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Likelihood.to.recommend,olong,olat,dlong,dlat,freeText
"Chicago, IL","San Antonio, TX",Gold,27,Female,1,2003,3,-0.5,Business travel,0,50,70,Eco,29,3/29/14,WN,Cheapseats Airlines Inc.,Texas,Illinois,16,0,0,No,135,1036,8,-98.475376,29.514399,-87.895427,41.827126,"NO LEG ROOM, NO MOVIES LIKE IN THE PAST, BUT ITS A DIRECT FLIGHT: No leg room, No movies like last time ,but it is a direct flight. Pack only small carry on cases or you will have to check the bag and pick up at curb side. There is no charge if your suitcase is too big when you enter the plane."
"Chicago, IL","Denver, CO",Platinum,64,Female,2,2010,8,-0.3333333333333333,Personal Travel,0,0,300,Eco Plus,14,2/14/14,WN,Cheapseats Airlines Inc.,Colorado,Illinois,16,5,0,No,114,895,3,-104.955096,39.710774,-87.895427,41.827126,"Over priced and terrible service: If you want to pay almost 600 dollars for a one way  flight and be treated with incredibly hostile and terrible service, you'll feel right at home. Nathalie at the check in gate is incredibly hostile and despite having paid so much for this flight I had one of the worst seats I've ever had and the worst..."
"Chicago, IL","Omaha, NE",Blue,56,Female,2,2007,38,-0.9487179487179487,Business travel,0,0,0,Eco,7,1/7/14,EV,FlyFast Airways Inc.,Nebraska,Illinois,5,NA,NA,Yes,NA,416,8,-96.034641,41.234859,-87.895427,41.827126,"Just no service at all!: The lack of on-board staff was so obvious! The two agents in place just didn't had enough time with the entire flight to serve passengers from the front to the end of the plane! In fact, third of passengers on the rear part of the plane hadn't been serve! Not even had the option of asking for a simple glass of water"
"Chicago, IL","Rochester, MN",Blue,57,Female,0,2011,76,-0.8095238095238095,Personal Travel,0,0,10,Eco,2,1/2/14,MQ,EnjoyFlying Air Services,Minnesota,Illinois,10,NA,NA,Yes,NA,268,3,-92.480171,44.020374,-87.895427,41.827126,"Overbooked and Business as Unsual: I have had enough experience with airlines to expect generally mediocre service, but Southeast deserves some special recognition. WAY overbooking our flight, then having us stand in line for over an hour at the departure gate - staffed by one man - while saying nothing to anyone, then finally telling me that there is ""little chance you will get..."
"Chicago, IL","Detroit, MI",Silver,75,Female,1,2012,38,-0.7674418604651163,Personal Travel,0,100,113,Eco Plus,11,1/11/14,MQ,EnjoyFlying Air Services,Michigan,Illinois,16,NA,NA,Yes,NA,235,8,-83.227554,42.490005,-87.895427,41.827126,"Nice flight to Haida Gwaii: A straightforward return trip, all on time, which is so important when you are on a luxury fishing trip. All luggage, including boxes of frozen and fresh fish, delivered safely. Adequate in-flight service."
"Chicago, IL","Orlando, FL",Blue,64,Male,1,2007,56,-0.9649122807017544,Personal Travel,0,15,15,Business,3,3/3/14,WN,Cheapseats Airlines Inc.,Florida,Illinois,10,0,1,No,148,990,3,-81.411211,28.584428,-87.895427,41.827126,"Poor service when flights were delayed: Our first flight was delayed causing us to miss our connecting flight, this happens however, we were given a total of $40 in vouchers for dinner for four people. That hardly covered dinner for two let alone four of us. When we arrived  we were given a hotel voucher along with cab vouchers. When we arrived at the..."
"Chicago, IL","Houston, TX",Blue,44,Male,1,2003,38,-0.35714285714285715,Business travel,2,70,125,Eco,22,3/22/14,WN,Cheapseats Airlines Inc.,Texas,Illinois,19,7,0,No,117,937,9,-95.393531,29.784308,-87.895427,41.827126,Good flight experience: Had a great experience flying Southeast...as always. Flew with my family members. Only suggestion is to tighten up some of the wait times; had some longer wait times.
"Chicago, IL","San Juan, PR",Gold,28,Male,2,2006,41,-0.64,Business travel,0,0,45,Eco,21,1/21/14,OU,Oursin Airlines Inc.,Puerto Rico,Illinois,16,9,0,No,279,2072,9,-66.116246,18.288174,-87.895427,41.827126,"No complaints: Business class seats were very comfortable. Full flight, but good service. In flight movie options were very different than other airlines. Not many new releases, it still a variety of old ones to choose from. I watch a lot of movies while flying. Food, wine and inbetween snacks were very good."
"Chicago, IL","Columbus, OH",Blue,68,Male,2,2012,52,-0.7049180327868853,Personal Travel,0,0,40,Eco,8,1/8/14,EV,FlyFast Airways Inc.,Ohio,Illinois,16,142,147,No,52,296,3,-82.968532,40.021161,-87.895427,41.827126,"Southeast is dropping the ball: I travel for business every month or sometimes a couple of times a month and can't help but notice more and more Southeast flights are being delayed - which is annoying for leisure travel but damaging for business travel.   Southeast - if you're reading this pls make everything possible to avoid making any schedule changes, or you will start losing..."
"Chicago, IL","Los Angeles, CA",Silver,61,Female,1,2009,23,-0.9166666666666666,Business travel,0,0,150,Eco,15,3/15/14,AA,Paul Smith Airlines Inc.,California,Illinois,10,23,15,No,211,1744,10,-118.104332,33.982668,-87.895427,41.827126,"Thank you to the pilots and crew: I flew  -  was my last hop back home from a business trip. The aircraft was a 767-300ER, and I sitted in economy.The boarding was smooth and efficient. Due to congestions, the flight left 12 minutes late from YYZ and arrived a bit  late at YUL, but no big deal."
"Chicago, IL","Tampa, FL",Blue,73,Male,2,2012,28,-0.8666666666666667,Personal Travel,0,0,90,Eco,13,2/13/14,OU,Oursin Airlines Inc.,Florida,Illinois,16,0,1,No,149,1012,5,-82.513188,28.006247,-87.895427,41.827126,Didn't sit next to husband: Booked a flight 5 months ago and paid a substantial amount come to find out they changed the flight to a smaller plane and my husband and I got moved to completely different rows and would not be sitting together. The woman I was sitting next to had the same situation with her family members...
"Cincinnati, OH","Orlando, FL",Blue,60,Male,1,2006,2,0.6,Personal Travel,2,0,0,Business,24,1/24/14,DL,Sigma Airlines Inc.,Florida,Kentucky,13,84,85,No,111,757,3,-81.411211,28.584428,-84.462043,39.185505,"Horrible Service, RUDE, will not fly with them again!: Our first flight was cancelled the night before and the flight got moved to later in the day. We were then delayed again.The first cancellation threw a huge wrench in our morning plans. We had spa treatments booked  which we had to cancel loosing our deposit. We explained this..."
"Columbus, OH","Los Angeles, CA",Silver,71,Male,0,2009,44,-0.9130434782608695,Personal Travel,0,0,20,Eco,10,3/10/14,DL,Sigma Airlines Inc.,California,Ohio,10,0,0,No,225,1995,9,-118.104332,33.982668,-82.968532,40.021161,"Nap Time: I have traveled all over since a very young age and one thing i've really struggled with on planes is sleeping. On my flight, i was with my best friend who had NEVER flown before. She was terrified and not wanting to do it at all. On this flight i was not only able to sleep..."
"Dallas, TX","Albuquerque, NM",Platinum,36,Male,1,2005,8,0.5789473684210527,Business travel,1,0,80,Eco,25,3/25/14,WN,Cheapseats Airlines Inc.,New Mexico,Texas,19,28,20,No,75,580,3,-106.628138,35.143367,-96.972001,32.812727,"AWFUL: I will go out of my way and spend more not to fly Southeast. Damage Luggage, Missing Luggage, rude staff.. Not worth it"
"Denver, CO","Portland, OR",Blue,50,Female,2,2010,19,-0.7272727272727273,Personal Travel,0,0,20,Eco,3,1/3/14,WN,Cheapseats Airlines Inc.,Oregon,Colorado,11,106,102,No,118,991,3,-122.651087,45.520404,-104.955096,39.710774,3/4 Flights Delayed over an hour!!!: Never have I witness so many delays in one trip.
"Denver, CO","Houston, TX",Silver,42,Male,2,2011,33,-0.7368421052631579,Business travel,0,140,0,Eco,19,3/19/14,OU,Oursin Airlines Inc.,Texas,Colorado,9,0,0,No,117,862,8,-95.393531,29.784308,-104.955096,39.710774,Watch out for those quick transfers: The flight out was delayed slightly and the flight took a little longer so I only had minutes to catch my connecting flight and the gate was no where in sight. I had to grab my things and run from one terminal wing to another and just made it. Man was I out of breadth.
"Denver, CO","Kahului, HI",Blue,58,Male,1,2003,20,-0.3333333333333333,Mileage tickets,0,0,60,Business,23,1/23/14,OU,Oursin Airlines Inc.,Hawaii,Colorado,23,0,0,No,378,3302,9,-156.477892,20.886428,-104.955096,39.710774,"good flight, reasonable food, great price!: Best price of all the ""bigname"" airlines - one stop (so-so airport food there). Quiet, comfortable flight (I am 5'3"", so I'm usually comfortable on a flight). ""Dreamliner"" was nearly new, so that was nice- entertainment system had plenty of movies and there was a usb plug to charge my phone. Food was better..."
"Denver, CO","Kansas City, MO",Silver,29,Female,1,2004,12,0.22580645161290322,Business travel,1,0,50,Eco,16,1/16/14,F9,GoingNorth Airlines Inc.,Missouri,Colorado,6,0,0,No,94,533,9,-94.594897,39.039792,-104.955096,39.710774,good company: Southeast is a fairly reliable company to travel with although problems could happen they will find a way to get you where you have to be.
"Denver, CO","Santa Barbara, CA",Blue,30,Male,2,2012,30,-0.5789473684210527,Business travel,1,0,105,Eco,14,3/14/14,OO,Northwest Business Airlines Inc.,California,Colorado,5,0,0,No,130,916,5,-119.724102,34.42747,-104.955096,39.710774,"Disaster of a day: We flew  and we were supposed to have a 2 hour layover. A massive rain storm hit and as such all of the outside plane crew employees were pulled due to danger of lighning. Flights were subsequently re-routed and or cancelled, what a mess"
"Denver, CO","New Orleans, LA",Silver,71,Female,2,2003,15,-0.2,Personal Travel,0,165,65,Eco,10,1/10/14,OU,Oursin Airlines Inc.,Louisiana,Colorado,7,175,165,No,149,1062,8,-90.143683,29.954653,-104.955096,39.710774,"A flight attendant didn't show up for their shift and we were delayed: An average flight that was long with two stops. No one was offered anything extra for the delay, which I thought was ridiculous. At least give a free drink."
"Denver, CO","Missoula, MT",Blue,77,Female,1,2009,37,-0.7209302325581395,Personal Travel,0,0,70,Eco,5,3/5/14,OO,Northwest Business Airlines Inc.,Montana,Colorado,6,0,0,No,86,679,4,-114.034222,46.87396,-104.955096,39.710774,"Worst ever: overbooked. Lying staff, money grubbing. Garbage food. Uncomfortable/. The worst airline I have every flown."
"Denver, CO","Wichita, KS",Silver,45,Male,1,2007,12,-0.09090909090909091,Business travel,0,0,150,Eco,11,2/11/14,OO,Northwest Business Airlines Inc.,Kansas,Colorado,12,27,22,No,71,420,9,-97.327333,37.679735,-104.955096,39.710774,"Boring Flight: What a boring flight. I loved every minute of it from the wonderful service to the entertaining videos, there was nothing to complain about. Let me say that boring on a flight is good, very, very good."
"Denver, CO","Salt Lake City, UT",Platinum,49,Male,1,2006,12,-0.6,Personal Travel,1,0,90,Eco,12,1/12/14,F9,GoingNorth Airlines Inc.,Utah,Colorado,18,13,6,No,58,391,10,-111.929515,40.640838,-104.955096,39.710774,All systems ago: The flight was relatively on time for boarding. Good day weather wise for flying. Pretty straight forward flight.
"Denver, CO","Omaha, NE",Blue,71,Male,1,2006,68,-0.863013698630137,Business travel,0,0,30,Eco,7,2/7/14,WN,Cheapseats Airlines Inc.,Nebraska,Colorado,15,0,0,No,74,472,9,-96.034641,41.234859,-104.955096,39.710774,"A nice comfortable flight: Due to the distance and available time, we decided to fly. As we were flying on points, we were able to fly business class. It was nice as there is lots of room in the seats which were very comfortable...."
"Detroit, MI","Tulsa, OK",Silver,44,Male,2,2006,15,-0.7647058823529411,Business travel,1,80,90,Eco,21,3/21/14,EV,FlyFast Airways Inc.,Oklahoma,Michigan,17,42,32,No,103,789,9,-95.901334,36.105449,-83.227554,42.490005,"Nice Change from United: I was impressed by the customer service at check-in, and the flight attendants offered great service. The new location  makes it easy to transfer to United flights."
"Detroit, MI","Providence, RI",Blue,58,Female,1,2006,9,-0.2857142857142857,Personal Travel,0,7,130,Eco,14,2/14/14,EV,FlyFast Airways Inc.,Rhode Island,Michigan,12,207,178,No,90,615,4,-71.397401,41.776323,-83.227554,42.490005,Checkin and gate personnel need some training...: The first leg of my flight was delayed for several different reasons causing me to miss my connecting flight. The agents at the originating airport AND connecting airport could not have cared any less and one was basically mocking those of us who were stressed to get to our final destinations. I had to come up with my own plan...
"El Paso, TX","Houston, TX",Blue,45,Male,1,2009,13,-0.18181818181818182,Business travel,1,0,60,Eco,27,3/27/14,OO,Northwest Business Airlines Inc.,Texas,Texas,17,5,1,No,99,667,6,-95.393531,29.784308,-106.389031,31.780239,"Not impressed: The actual flight was fine. What we found disappointing was that, what we took to be a major carrier, seemed to Southeastt like a low-cost airline where passengers are expected to pay for hold luggage, snacks, preferred seating and headsets to enable them to while away the long journey."
"Fayetteville, AR","New York, NY",Silver,31,Male,2,2011,45,-0.9148936170212766,Business travel,0,0,15,Eco,4,3/4/14,MQ,EnjoyFlying Air Services,New York,Arkansas,7,0,0,No,179,1147,8,-73.970221,40.718357,-94.179758,36.267415,"Good international - not so good domestic: Recently flew Southeast . had pretty good service from the cabin crew. 787 Dreamliner cattle class seats more comfortable than expected, cabin pleasant enough, entertainment was ok as was the food. Drinks service three times but you could ask for more if wanted. Overall..."
"Gainesville, FL","Atlanta, GA",Blue,18,Female,2,2009,23,-0.4838709677419355,Business travel,1,0,50,Eco,9,2/9/14,EV,FlyFast Airways Inc.,Georgia,Florida,16,0,0,No,44,300,9,-84.331858,33.824102,-82.371036,29.656824,"Short flight: Much more comfortable than the International flight. This flight was very comfortable.Some flights the previous day were cancelled so it was full and there was the slight expectation that we'd get bumped off, but not so. A full flight but comfortable and plenty of space."
"Grand Junction, CO","Phoenix, AZ",Blue,68,Female,2,2005,52,-0.8909090909090909,Personal Travel,0,0,30,Eco,12,3/12/14,OO,Northwest Business Airlines Inc.,Arizona,Colorado,8,104,101,No,58,438,3,-111.970041,33.494067,-108.567452,39.089062,"Unconcerned, uncaring customer service. The absolute worst: due to their flight delay they did not hold flight Connecting flight for 50 people including us (party of 4)...first mistake was using this airline. Friends were economizing and we went along with it. No representative from Southeast..."
"Harrisburg, PA","Chicago, IL",Blue,80,Female,2,2003,23,-0.6428571428571429,Personal Travel,0,0,25,Eco Plus,5,3/5/14,EV,FlyFast Airways Inc.,Illinois,Pennsylvania,7,14,12,No,74,594,1,-87.895427,41.827126,-76.86615,40.245625,Chris: Un believable it starts  an over booked dinosaur holding 50 the flight frightened so manny on bored as it lacked modern advancements to minimize turbulence. Next leg several canceled flights piled into crowd  and a rude staff that basically said suck it up. I will never fly Southeast again.
"Hartford, CT","Chicago, IL",Blue,44,Female,2,2003,16,0.3469387755102041,Personal Travel,3,55,15,Business,18,1/18/14,WN,Cheapseats Airlines Inc.,Illinois,Connecticut,13,323,329,No,99,777,3,-87.895427,41.827126,-72.69883,41.740122,"Delay: Delay, delay, delay, always delay, apology as usual, but you don't feel the sincere.Offer $20 meal voucher, stuck at airport a long time, how about I give you meal voucher and ask you to sit at the airport ?I wish I have a choice."
"Hartford, CT","Tampa, FL",Blue,43,Female,1,2004,17,-0.3076923076923077,Business travel,1,5,30,Eco,29,3/29/14,WN,Cheapseats Airlines Inc.,Florida,Connecticut,16,159,155,No,135,1111,9,-82.513188,28.006247,-72.69883,41.740122,"Recent Southeast Flight: I recently flew Business Class  Southeast. The flight was late due to the late arrival of the inbound aircraft but the pilot made up the time in the air. The Business Class Service was excellent, with choices of three red and white wines, alcohol and choice of chicken, pasta or salmon. The seating is..."
"Houston, TX","San Francisco, CA",Gold,44,Female,2,2005,8,0.5151515151515151,Business travel,2,0,20,Eco,2,3/2/14,OU,Oursin Airlines Inc.,California,Texas,19,0,0,No,180,1635,9,-122.158498,37.671179,-95.393531,29.784308,"Sweetest landing ever!: We all know seating in economy class is cramped but let's face facts, we all want cheap - you can't have both.  My only negative is that the sound and vibration caused when people walk in the aisle. Can we not have better cushioning on the floors to quiet the noise?"
"Houston, TX","Knoxville, TN",Blue,17,Female,1,2006,6,0.4782608695652174,Business travel,2,0,90,Eco Plus,1,1/1/14,EV,FlyFast Airways Inc.,Tennessee,Texas,19,189,184,No,122,771,3,-84.024448,35.91678,-95.393531,29.784308,"Disappointing: Sat on Ground for a long time while waiting for technican to fix a malfunctioning computer problem.Only concession was a glass of water.Fixed once taxied for takeoff only to return to have problem fixed again.A free snack/meal/or ""drink"" would have been nice.Pity those who missed connections & had to stay overnite.""WHY"" does it..."
"Houston, TX","Lafayette, LA",Blue,47,Female,2,2004,22,-0.6296296296296297,Personal Travel,3,120,40,Eco,9,3/9/14,EV,FlyFast Airways Inc.,Louisiana,Texas,5,NA,NA,Yes,NA,201,5,-92.013294,30.165353,-95.393531,29.784308,"Extremely disorganised and very, very rude!: Having checked in, chosen seats and paid the extra $25 each for one checked in bag, we arrived at the airport 90 minutes before the flight, as recommended. We were sent from pilar to post, ato checkin wouldn't work, sent from one line to the next........."
"Houston, TX","Chicago, IL",Silver,70,Female,1,2010,6,0.07692307692307693,Business travel,0,60,90,Eco,6,1/6/14,OU,Oursin Airlines Inc.,Illinois,Texas,17,16,0,No,122,925,10,-87.895427,41.827126,-95.393531,29.784308,"Pleasantly surprised: Last minute flight was booked into Business Class, paid a little more than I wanted but I didn't have a choice because I needed a flight regardless and it was the only seat available.My seat was comfortable, the flight attendants servicing our area were super pleasant and accommodating, and I actually felt taken care of for this flight."
"Idaho Falls, ID","Denver, CO",Silver,28,Male,1,2010,25,-0.35135135135135137,Business travel,1,0,61,Eco,22,3/22/14,OO,Northwest Business Airlines Inc.,Colorado,Idaho,11,14,6,No,74,458,9,-104.955096,39.710774,-112.00085,43.495177,"Southeast: Very pleasant flight, courteous and helpful cabin crew. The best thing about this  flight was the amazing scenery."
"Indianapolis, IN","Houston, TX",Blue,32,Male,2,2003,39,-0.41818181818181815,Business travel,1,0,30,Eco,31,3/31/14,EV,FlyFast Airways Inc.,Texas,Indiana,10,0,0,No,107,844,6,-95.393531,29.784308,-86.145521,39.811262,"Absolute savage customer service: I have been travelling for most of my life and, due to a lack of options, I typically end up travelling with Southeast. Time and time again, this company never fails to amaze me. I have had my flights deleted twice (both times resulting in my being stranded), my baggage lost, etc., but what is most bothersome..."
"Indianapolis, IN","Miami, FL",Blue,69,Female,2,2012,35,-0.627906976744186,Personal Travel,0,0,105,Eco,6,3/6/14,MQ,EnjoyFlying Air Services,Florida,Indiana,10,0,0,No,139,1020,3,-80.231428,26.175616,-86.145521,39.811262,"Bad Bad bad!: When I entered the flight, crew at the door did not even bother to look at us and did not see the boarding pass. We found our seats and all crew were hiding in the kitchen the whole time. Just before take off they appeared and made sure seat belts are on and disappeared again.Seats are so small and..."
"Jacksonville, FL","Miami, FL",Silver,30,Male,1,2011,9,-0.5,Business travel,0,35,85,Eco,23,3/23/14,MQ,EnjoyFlying Air Services,Florida,Florida,7,0,0,No,56,335,9,-80.231428,26.175616,-81.64274,30.24014,"Direct flight: Basic short haul direct flight with zero complications. Can't really fault them for irritating checked luggage surcharge or mystifying fuel surcharge since all of the airlines charge them. Check in was quick and efficient, crew were friendly and helpful, plane left on time and arrived on time."
"Kahului, HI","San Jose, CA",Blue,23,Male,1,2008,35,-0.37254901960784315,Business travel,1,45,60,Eco,8,1/8/14,HA,West Airways Inc.,California,Hawaii,8,0,4,No,307,2355,9,-121.945145,37.329845,-156.477892,20.886428,"Fantastic Service: Wonderful service, comfortable and efficient. Food was plentiful and actually pretty good. Choice of movies was good. Overall a very good service."
"Kahului, HI","San Jose, CA",Gold,34,Female,1,2005,13,0.46938775510204084,Business travel,3,0,90,Eco,22,3/22/14,AS,FlyToSun Airlines Inc.,California,Hawaii,9,0,0,No,328,2355,10,-121.945145,37.329845,-156.477892,20.886428,"Premium Economy or not?: This was my first time traveling Premium Economy. The Premium Economy section was only 3 rows behind business class on this plane. Definitely more comfortable seat and quieter. Negatives - thick, immovable divider between seats meant that if the seat next to you is empty you..."
"Kahului, HI","Seattle, WA",Silver,47,Male,2,2011,13,-0.18181818181818182,Business travel,2,25,180,Eco,24,2/24/14,AS,FlyToSun Airlines Inc.,Washington,Hawaii,16,2,0,No,345,2640,10,-122.274661,47.468409,-156.477892,20.886428,"Nice plane, proper service: We flew with Southeast with the Boeing 787-8 Dreamliner. The plane is fabulous and very modern. You have enough space in the economy class and the screens on the seats are working perfectly. The seats are comfortable. Staff was friendly, but a little bit ""jejune"" and stiff."
"Kahului, HI","Los Angeles, CA",Blue,28,Female,1,2012,20,-0.3793103448275862,Personal Travel,3,0,110,Eco,7,2/7/14,OU,Oursin Airlines Inc.,California,Hawaii,13,0,12,No,333,2486,3,-118.104332,33.982668,-156.477892,20.886428,"Customer service non existent: On a long nonstop flight, we were 3 hours in the air before being offered even water. They fed all the special menus first while the bulk of passengers waited. 30 minutes before landing we got a slice of banana bread, no coffee. Lord only knows what they are thinking."
"Kahului, HI","Bellingham, WA",Blue,34,Female,2,2008,10,0.047619047619047616,Business travel,3,30,85,Eco,11,2/11/14,AS,FlyToSun Airlines Inc.,Washington,Hawaii,8,0,23,No,384,2681,9,-122.476127,48.77284,-156.477892,20.886428,"Second test ... approved!!: it was the second time I flew with the airline, I made two stopovers . I took seven different airplanes. All of them departed exactly at the scheduled time and landed on time or before. The boarding was always very organized and neat...."
"Kahului, HI","San Francisco, CA",Blue,19,Female,2,2003,0,1,Personal Travel,2,0,0,Eco,25,3/25/14,OU,Oursin Airlines Inc.,California,Hawaii,14,25,11,No,295,2338,3,-122.158498,37.671179,-156.477892,20.886428,Worst trip ever!: Went  on vacation flying Business Class both ways on the way.  flight attendant and no one else provide any guidance on what we are suppose to do or go to get my luggage and re check them in. Once I figured that out had to wait in line for an hour...
"Kansas City, MO","Chicago, IL",Silver,26,Male,1,2009,27,-0.8620689655172413,Mileage tickets,0,110,130,Eco,11,1/11/14,EV,FlyFast Airways Inc.,Illinois,Missouri,20,88,69,No,61,403,10,-87.895427,41.827126,-94.594897,39.039792,"Lots of notice for storm delay but more agents could have made things smoother: We were delayed by a storm (expected) but, the morning of our flight, the line up was very long yet only 2 ticket agents were on duty. People were being allowed to jump the queue & they even closed 1 counter for about 15 minutes. While stressful, we made our flight."
"Kansas City, MO","Atlanta, GA",Blue,68,Female,1,2003,17,-0.3076923076923077,Personal Travel,0,10,35,Eco,7,3/7/14,DL,Sigma Airlines Inc.,Georgia,Missouri,16,142,119,No,93,692,4,-84.331858,33.824102,-94.594897,39.039792,Run...don't walk....just run from this airline.: I thought I knew what it was like to fly a sub-par or below average airline but I had NO idea until I flew Southeast for the first time. Our first flight was delayed and we were just thinking okay hopefully we just make it to the connection....
"Kansas City, MO","Chicago, IL",Blue,74,Female,1,2003,29,-0.5675675675675675,Personal Travel,0,5,105,Eco,8,1/8/14,EV,FlyFast Airways Inc.,Illinois,Missouri,19,NA,NA,Yes,NA,403,5,-87.895427,41.827126,-94.594897,39.039792,"No food, no headphone, poor service and lack of communication: They asked me for my Visa 3 times, the front desk person requested me to drop the bags because my bags wouldn't fit but I used these bags for several trips and never had this kind of problem, however I've noticed that the aircraft was full and didn't have enough room to Southeastcommodate all bags (he didn't tell me the..."
"Kansas City, MO","Orlando, FL",Blue,48,Male,1,2003,19,-0.3103448275862069,Personal Travel,1,0,90,Business,13,2/13/14,WN,Cheapseats Airlines Inc.,Florida,Missouri,18,31,25,No,162,1072,3,-81.411211,28.584428,-94.594897,39.039792,"No customer service!!: The line to check in and have them print our luggage tags was over an hour!! We had 10 people in front of us that's it. But the counter service people kept calling the people with luggage tags ,and priority boarding. I was afraid we would miss our flight if security had a long line. That's just ridiculous..."
"Kansas City, MO","Los Angeles, CA",Blue,79,Female,1,2007,27,-0.8,Personal Travel,0,0,75,Eco Plus,15,1/15/14,WN,Cheapseats Airlines Inc.,California,Missouri,9,5,23,No,186,1363,4,-118.104332,33.982668,-94.594897,39.039792,Really bad: Didn't got any food and had to pay extra for checked bags. You're paying for a high quality airplane company but getting the service of a low cost one. Soon they'll make you pay for the napkins!
"Key West, FL","New Orleans, LA",Silver,52,Female,1,2011,9,-0.058823529411764705,Business travel,0,0,60,Business,13,1/13/14,WN,Cheapseats Airlines Inc.,Louisiana,Florida,11,4,34,No,89,643,9,-90.143683,29.954653,-81.75154,24.569626,"An Enjoyable Flight: I flew on the Southeast  as it was cheapest. It was a good flight and we enjoyed some amenities. The chairs were comfortable and I enjoyed the movie selection and the meal. A family member flew out of Toronto with Southeast for the same trip and had a horrible flight,..."
"Kotzebue, AK","Anchorage, AK",Blue,75,Female,1,2006,35,-0.9444444444444444,Personal Travel,0,30,90,Eco,23,1/23/14,AS,FlyToSun Airlines Inc.,Alaska,Alaska,6,0,0,No,75,548,8,-149.847166,61.167916,-162.587577,66.893907,So much better than Rouge: After flying on Southeast before I was not looking forward to another Southeast flight even though I had opted for premium economy so it was a nice surprise when the flight was relatively comfortable and not more than a half hour late arriving. Service was not good and food was below adverage but not being uncomfortable and hours...
"Lake Charles, LA","Houston, TX",Blue,41,Female,2,2003,35,-0.6666666666666666,Business travel,0,0,30,Eco,28,1/28/14,EV,FlyFast Airways Inc.,Texas,Louisiana,21,NA,NA,Yes,NA,127,8,-95.393531,29.784308,-93.25584,30.244735,"No amenities: The flight was good, no problems, but everything had a price. Water and coffee and a snack were free. However, on a flight the next day even lunch had a price. The crew was polite and helpful but it seems to many air carriers are trying to soak…"
"Las Vegas, NV","Orlando, FL",Blue,20,Female,2,2007,26,-0.4857142857142857,Business travel,0,0,0,Eco,16,3/16/14,WN,Cheapseats Airlines Inc.,Florida,Nevada,6,0,0,No,268,2039,8,-81.411211,28.584428,-115.167218,36.134893,Disappointing Experience: Booked a flight with a friend and we could never sit together. The flight was long and there was no kinda of entertainment except to pay andvrent an iPad. Ridiculous! I've never had suggest poor offerings from a well known airline when I know some of their other planes are better equipt with more offerings.
"Las Vegas, NV","New York, NY",Blue,46,Male,1,2006,40,-0.5686274509803921,Business travel,1,0,75,Eco,2,3/2/14,DL,Sigma Airlines Inc.,New York,Nevada,10,0,0,No,321,2248,9,-73.970221,40.718357,-115.167218,36.134893,"trip bk home: awesome... lounge & great food & drink, quick check in, great seats & service ... great flight :-) happy dAYS"
"Las Vegas, NV","Seattle, WA",Silver,28,Female,1,2008,10,0.4444444444444444,Business travel,1,50,40,Eco,3,1/3/14,AS,FlyToSun Airlines Inc.,Washington,Nevada,7,0,0,No,112,867,9,-122.274661,47.468409,-115.167218,36.134893,No unpleasant surprises: I have flown with Southeast 3 times without any disappointments. Flights have been uneventfully without any delays.
"Las Vegas, NV","Philadelphia, PA",Blue,46,Female,2,2009,24,-0.4117647058823529,Business travel,2,0,60,Eco,11,2/11/14,US,Southeast Airlines Co.,Pennsylvania,Nevada,18,2,0,No,304,2176,9,-75.298356,39.973277,-115.167218,36.134893,"Very very nice !: From check in to boarding all very good. On board the service was excellent , a better flight I have not taken . Well done Southeast ."
"Las Vegas, NV","Boston, MA",Silver,43,Female,1,2012,20,-0.5384615384615384,Business travel,0,60,30,Eco Plus,17,1/17/14,B6,OnlyJets Airlines Inc.,Massachusetts,Nevada,8,11,0,No,307,2381,8,-71.140708,42.373132,-115.167218,36.134893,Below par: I simply do not understand how Southeast is a 4 star airline.The extra seat to make it 3-4-3 in Economy for a 777 is criminal by any standards. Service is poor. The aisles are so narrow that the cabin crew manage to either bump themselves or the trolley each time they go...
"Las Vegas, NV","Austin, TX",Blue,29,Female,1,2012,21,-0.23529411764705882,Personal Travel,2,0,20,Eco,14,1/14/14,WN,Cheapseats Airlines Inc.,Texas,Nevada,19,63,59,No,159,1090,1,-97.761533,30.358514,-115.167218,36.134893,"One week and still no luggage. Never fly Southeast: I left one week ago today and I still don't have my luggage. Southeast has asked me to ""DM on Twitter"" and now they haven't responded in 5 days. We got our reference number for the lost bags Monday. Basically since then there has been no response."
"Las Vegas, NV","New York, NY",Platinum,80,Male,2,2009,31,-0.6756756756756757,Personal Travel,0,0,90,Eco,11,1/11/14,B6,OnlyJets Airlines Inc.,New York,Nevada,9,19,59,No,309,2248,5,-73.970221,40.718357,-115.167218,36.134893,"Good for short hauls: If you are not more than 5' 9"" you might survive a long flight on Southeast. We had the a320. Friggin torture! Rock hard seats with no legroom. My back has been bothering me since. One glass of juice the whole trip. 2 washrooms for all of economy! Is there..."
